"Customer" "TypeOfCustomer" "Items" "Net.Sales" "MethodOfPayment" "Gender" "Marital.Status" "Age" "Level" "HolidaySales"
"1" 1 "Regular" 10 129.1 "MasterCard" "Male" "Divorced" 61 300 144.776492545523
"2" 2 "Promotional" 1 275.47 "Visa" "Female" "Married" 27 100 293.98713040381
"3" 3 "Promotional" 3 104.35 "Visa" "Male" "Married" 51 300 119.686013725626
"4" 4 "Regular" 1 205.54 "MasterCard" "Female" "Divorced" 87 200 215.715350831688
"5" 5 "Promotional" 6 292.64 "MasterCard" "Male" "Divorced" 47 100 310.020003693327
"6" 6 "Regular" 8 200.35 "Proprietary Card" "Male" "Never married" 71 200 213.971992972249
"7" 7 "Promotional" 4 144.65 "Discover" "Male" "Never married" 44 100 149.934115254228
"8" 8 "Regular" 4 233.84 "Proprietary Card" "Female" "Married" 38 100 255.791853137934
"9" 9 "Promotional" 2 265.82 "MasterCard" "Female" "Divorced" 48 300 302.31974376946
"10" 10 "Promotional" 1 221.53 "Visa" "Female" "Never married" 27 200 221.087592622293
"11" 11 "Promotional" 3 254.24 "Discover" "Male" "Married" 77 200 272.720429701639
"12" 12 "Regular" 6 282.11 "Proprietary Card" "Male" "Divorced" 41 400 299.590921831313
"13" 13 "Regular" 2 259.34 "MasterCard" "Female" "Divorced" 78 400 255.928713350464
"14" 14 "Regular" 3 185.33 "Visa" "Female" "Divorced" 23 100 180.216607080193
"15" 15 "Promotional" 3 119.67 "Discover" "Male" "Married" 52 200 127.493323459326
"16" 16 "Promotional" 7 140.92 "Discover" "Male" "Never married" 36 100 144.977642589741
"17" 17 "Regular" 7 113 "MasterCard" "Female" "Married" 21 100 126.064753954245
"18" 18 "Promotional" 3 159.94 "Discover" "Male" "Never married" 40 200 182.703479204283
"19" 19 "Regular" 5 111.84 "MasterCard" "Female" "Married" 19 100 149.053346384561
"20" 20 "Regular" 3 165.92 "Visa" "Female" "Married" 57 100 162.296756512051
"21" 21 "Regular" 2 237.12 "Visa" "Male" "Divorced" 53 100 263.112346154622
"22" 22 "Promotional" 3 117.07 "MasterCard" "Female" "Never married" 27 400 143.71138569297
"23" 23 "Regular" 2 140.41 "Visa" "Male" "Never married" 78 100 167.310026583565
"24" 24 "Regular" 2 115.76 "Visa" "Female" "Divorced" 55 200 145.252599356275
"25" 25 "Promotional" 4 240.33 "MasterCard" "Male" "Married" 61 300 269.743113249294
"26" 26 "Regular" 3 130.05 "Visa" "Female" "Divorced" 35 300 157.400859998307
"27" 27 "Regular" 1 172.58 "Discover" "Male" "Never married" 77 400 180.100188839901
"28" 28 "Promotional" 2 256.15 "Visa" "Male" "Never married" 42 400 262.620130596306
"29" 29 "Regular" 2 204.68 "Proprietary Card" "Female" "Divorced" 57 200 204.447939767846
"30" 30 "Promotional" 4 167.26 "Visa" "Female" "Divorced" 49 400 184.325505073527
"31" 31 "Regular" 5 164.82 "Proprietary Card" "Female" "Divorced" 61 200 176.875226831789
"32" 32 "Promotional" 7 264.28 "Visa" "Male" "Divorced" 41 400 281.854446047207
"33" 33 "Promotional" 7 235.41 "Discover" "Male" "Divorced" 55 200 247.432732776787
"34" 34 "Promotional" 7 224.81 "MasterCard" "Male" "Divorced" 40 200 241.836887749865
"35" 35 "Regular" 7 259.34 "Proprietary Card" "Female" "Married" 61 100 267.508222593195
"36" 36 "Promotional" 8 230.88 "Visa" "Female" "Never married" 67 100 239.608528992002
"37" 37 "Regular" 10 119.1 "MasterCard" "Male" "Divorced" 58 200 137.013521743136
"38" 38 "Promotional" 9 221.36 "Discover" "Female" "Married" 65 100 231.204084073592
"39" 39 "Regular" 10 285.77 "Discover" "Male" "Never married" 71 100 309.936072188536
"40" 40 "Regular" 3 251.05 "Visa" "Female" "Divorced" 40 400 255.848707707238
"41" 41 "Promotional" 10 105.23 "Proprietary Card" "Female" "Divorced" 49 100 123.259455997204
"42" 42 "Regular" 1 198.99 "Discover" "Female" "Divorced" 57 100 229.647087697937
"43" 43 "Promotional" 9 183.28 "MasterCard" "Female" "Divorced" 75 400 189.133014837425
"44" 44 "Regular" 2 271.14 "Discover" "Female" "Married" 40 200 284.302210170831
"45" 45 "Regular" 7 243.27 "MasterCard" "Female" "Married" 38 300 247.661612781161
"46" 46 "Regular" 4 150.78 "MasterCard" "Male" "Never married" 31 400 164.352384047627
"47" 47 "Promotional" 9 141.28 "Visa" "Male" "Never married" 68 200 144.854360297263
"48" 48 "Promotional" 2 278.65 "Discover" "Male" "Divorced" 47 400 290.83054230945
"49" 49 "Promotional" 6 298.24 "Proprietary Card" "Male" "Divorced" 56 300 318.062336636192
"50" 50 "Promotional" 2 205.73 "Proprietary Card" "Male" "Divorced" 66 400 215.249885797555
"51" 51 "Regular" 10 274.56 "Proprietary Card" "Male" "Never married" 43 100 283.607526860787
"52" 52 "Promotional" 3 251.33 "MasterCard" "Male" "Never married" 78 200 271.739434941723
"53" 53 "Promotional" 5 133.56 "Discover" "Female" "Never married" 73 100 156.754155023009
"54" 54 "Promotional" 4 160.08 "Discover" "Male" "Divorced" 76 100 174.26839075376
"55" 55 "Promotional" 5 173.68 "Proprietary Card" "Female" "Divorced" 18 300 182.497326040774
"56" 56 "Promotional" 6 272.74 "MasterCard" "Male" "Divorced" 37 100 299.49892319878
"57" 57 "Promotional" 7 278.58 "MasterCard" "Male" "Never married" 39 200 297.313399712516
"58" 58 "Promotional" 3 190.04 "Visa" "Female" "Never married" 78 300 213.019540782233
"59" 59 "Regular" 5 146.02 "Visa" "Female" "Divorced" 62 300 166.524755279048
"60" 60 "Regular" 1 258.4 "Visa" "Male" "Married" 45 300 280.227297219581
"61" 61 "Promotional" 5 278.65 "Discover" "Female" "Never married" 60 200 286.502012972413
"62" 62 "Regular" 5 223.89 "Visa" "Male" "Never married" 24 300 248.239716581618
"63" 63 "Promotional" 10 184.13 "Discover" "Female" "Never married" 27 100 197.352869233823
"64" 64 "Promotional" 6 243.31 "Visa" "Female" "Divorced" 78 400 251.355611360461
"65" 65 "Regular" 6 139.62 "MasterCard" "Male" "Married" 44 100 158.981531954032
